07-28 17:09:41.116   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:41.191   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:41.267   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:41.353   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:41.436   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:41.515   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:41.593   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:41.672   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:41.754   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:41.843   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:41.911   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.000   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.079   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.159   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.236   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.318   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.398   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.474   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.549   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.644   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
07-28 17:09:42.716   34299-35222   A0BEEF/com.exa...bric/#RNOH_JS  com.example.fabric    I     __█__ Gyroscope: x=0, y=0, z=0
